tipo,nombre,descripcion,modulo,referencia
SP,AP_G_APLICADO_TIPO,"Obtiene la quincena y ano de aplicacion para una organica.",afiliado,"src/modules/afiliado/application/commands/AplicarBDIssspeaQNACommand.ts:68"
SP,AP_P_APLICAR,"Aplica la quincena en Firebird; en el flujo se ejecuta con tipo C y F.",afiliado,"src/modules/afiliado/application/commands/AplicarBDIssspeaQNACommand.ts:129"
SP,AP_D_ENVIO_LAYOUT,"Ejecuta el envio/layout de una quincena para una organica.",afiliado,"src/modules/afiliado/afiliado.repo.ts:1613"
SP,DP_EDITA_PERSONAL,"Crea o actualiza personal en Firebird y retorna el INTERNO.",afiliado,"src/modules/afiliado/infrastructure/firebird/FirebirdMovimientoService.ts:468"
SP,DP_EDITA_ENTIDAD,"Migra o aplica movimientos de entidad en Firebird y retorna CVE_ERROR y NOM_ERROR.",afiliado,"src/modules/afiliado/infrastructure/firebird/FirebirdMovimientoService.ts:1131"
SP,AP_RESUMEN_ORG_QNA_ALL,"Consulta el resumen organico quincenal.",aplicacionQuincenal,"src/modules/aplicacionQuincenal/aplicacionQuincenal.routes.ts:175"
SP,HISTORIAL_MOVIMIENTOS_QUIN,"Obtiene historial de movimientos quincenales.",reportes-afiliados,"src/modules/reportes/afiliados/afiliados.routes.ts:16"
SP,HISTORIAL_MOV_PROMEDIO_SDO,"Obtiene historial de movimientos con promedio de sueldo.",reportes-afiliados,"src/modules/reportes/afiliados/afiliados.routes.ts:84"
SP,HISTORIAL_MOVIMIENTOS_QUIN_IND,"Obtiene movimientos quincenales individuales.",reportes-aplicacionesQNA,"src/modules/reportes/aplicacionesQNA/aplicacionesQNA.routes.ts:26"
SP,DP_ANTIGUEDAD_IND,"Calcula antiguedad por INTERNO: periodos, anos, meses, dias y AMD.",reportes-aplicacionesQNA,"src/modules/reportes/aplicacionesQNA/infrastructure/persistence/AplicacionesQNARepository.ts:312"
SP,AP_P_FONDOS,"Obtiene aplicacion de aportaciones o fondos.",reportes-aplicacionesQNA,"src/modules/reportes/aplicacionesQNA/aplicacionesQNA.routes.ts:122"
SP,AP_S_PCP,"Obtiene aplicacion o prestamos a corto plazo.",reportes-aplicacionesQNA,"src/modules/reportes/aplicacionesQNA/aplicacionesQNA.routes.ts:320"
SP,AP_S_VIV,"Obtiene aplicacion o prestamos a mediano plazo.",reportes-aplicacionesQNA,"src/modules/reportes/aplicacionesQNA/aplicacionesQNA.routes.ts:478"
SP,AP_S_HIP_QNA,"Obtiene aplicacion o prestamos hipotecarios.",reportes-aplicacionesQNA,"src/modules/reportes/aplicacionesQNA/aplicacionesQNA.routes.ts:636"
SP,AP_S_COMP_QNA,"Variante legacy para prestamos hipotecarios cuando computadora_antigua=true.",aportacionesFondos,"src/modules/aportacionesFondos/application/queries/GetPrestamosHipotecariosQuery.ts:18"
SP,ADEUDO_ORGANICA_LAYOUT,"Obtiene concentrado de adeudos por organica y periodo.",reportes-aplicacionesQNA,"src/modules/reportes/aplicacionesQNA/aplicacionesQNA.routes.ts:794"
SP,SAR_TOTAL_A_ORG,"Obtiene el estado de cuenta de C.A.I.R.",reportes-CAIR,"src/modules/reportes/CAIR/CAIR.routes.ts:16"
SP,SAR_DEVOLUCION_REPORTE,"Obtiene C.A.I.R. entregado, totales por tipo.",reportes-CAIR,"src/modules/reportes/CAIR/CAIR.routes.ts:84"
SP,SAR_DEVOLUCION,"Obtiene devolucion SAR por afiliado y tipo.",CAIR,"src/modules/CAIR/CAIR.routes.ts:117"
FUNCION,PENSION_NOMINA_QNAL_TRANSITORIO,"Obtiene pension nomina transitorio.",aportacionesFondos,"src/modules/aportacionesFondos/infrastructure/persistence/AportacionFondoRepository.ts:1565"
FUNCION,AGUINALDO_ORGANICAS,"Obtiene aguinaldo por organicas.",aportacionesFondos,"src/modules/aportacionesFondos/infrastructure/persistence/AportacionFondoRepository.ts:1863"
